"","CP","VTL20days","start_end_20","Upcross20","VTL80days","start_end_80","Upcross80","VTL360days","start_end_360","Upcross360"
"1","0.08584",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","0.0808",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","0.074735729",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","0.079192863",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","0.05846976",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","0.06059287",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","0.05454",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","0.050540618",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","0.056",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","0.058622016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","0.058911099",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","0.0699",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","0.064657382",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","0.067545799",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","0.0611",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","0.06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","0.060012151",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","0.05701578",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","0.061",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","0.061671315",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","0.059003945",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","0.0609",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","0.0704",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","0.069338729",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","0.067",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","0.07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","0.0645",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","0.066996434",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","0.065117932",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","0.0655",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","0.07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","0.068",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","0.0667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","0.0655",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","0.0664",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","0.065928989",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","0.06491",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","0.065",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","0.0648",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","0.064075114",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","0.065",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","0.0646",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","0.064",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","0.06497",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","0.06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","0.062024828",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","0.0634",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","0.06085",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","0.062178276",NA,NA,NA,NA,NA,NA,NA,NA,NA
