"","CP","VTL20days","VTL80days","VTL360days"
"1",0.08584,NA,NA,NA
"2",0.0808,NA,NA,NA
"3",0.074735729,NA,NA,NA
"4",0.079192863,NA,NA,NA
"5",0.05846976,NA,NA,NA
"6",0.06059287,NA,NA,NA
"7",0.05454,NA,NA,NA
"8",0.050540618,NA,NA,NA
"9",0.056,NA,NA,NA
"10",0.058622016,NA,NA,NA
"11",0.058911099,NA,NA,NA
"12",0.0699,NA,NA,NA
"13",0.064657382,NA,NA,NA
"14",0.067545799,NA,NA,NA
"15",0.0611,NA,NA,NA
"16",0.06,NA,NA,NA
"17",0.060012151,NA,NA,NA
"18",0.05701578,NA,NA,NA
"19",0.061,NA,NA,NA
"20",0.061671315,NA,NA,NA
"21",0.059003945,NA,NA,NA
"22",0.0609,NA,NA,NA
"23",0.0704,NA,NA,NA
"24",0.069338729,NA,NA,NA
"25",0.067,NA,NA,NA
"26",0.07,NA,NA,NA
"27",0.0645,NA,NA,NA
"28",0.066996434,NA,NA,NA
"29",0.065117932,NA,NA,NA
"30",0.0655,NA,NA,NA
"31",0.07,NA,NA,NA
"32",0.068,NA,NA,NA
"33",0.0667,NA,NA,NA
"34",0.0655,NA,NA,NA
"35",0.0664,NA,NA,NA
"36",0.065928989,NA,NA,NA
"37",0.06491,NA,NA,NA
"38",0.065,NA,NA,NA
"39",0.0648,NA,NA,NA
"40",0.064075114,NA,NA,NA
"41",0.065,NA,NA,NA
"42",0.0646,NA,NA,NA
"43",0.064,NA,NA,NA
"44",0.06497,NA,NA,NA
"45",0.06,NA,NA,NA
"46",0.062024828,NA,NA,NA
"47",0.0634,NA,NA,NA
"48",0.06085,NA,NA,NA
"49",0.062178276,NA,NA,NA
"50",0.06165,NA,NA,NA
"51",0.0616,NA,NA,NA
"52",0.061239118,NA,NA,NA
"53",0.061,NA,NA,NA
"54",0.061114971,NA,NA,NA
"55",0.061011524,0.061011524,NA,NA
"56",0.063620865,0.0612343092340425,NA,NA
"57",0.0615,0.0614570944680851,NA,NA
"58",0.06218,0.0616798797021277,NA,NA
"59",0.06199,0.0619026649361702,NA,NA
"60",0.0604,0.0621254501702128,NA,NA
"61",0.0619,0.0623482354042553,NA,NA
"62",0.060000526,0.060000526,NA,NA
"63",0.061,0.0600005569411765,NA,NA
"64",0.0627,0.0600005878823529,NA,NA
"65",0.062101736,0.0600006188235294,NA,NA
"66",0.06265,0.0600006497647059,NA,NA
"67",0.06188187,0.0600006807058823,NA,NA
"68",0.062153513,0.0600007116470588,NA,NA
"69",0.0622,0.0600007425882353,NA,NA
"70",0.06202,0.0600007735294117,NA,NA
"71",0.062,0.0600008044705882,NA,NA
"72",0.062200442,0.0600008354117647,NA,NA
"73",0.061903898,0.0600008663529411,NA,NA
"74",0.06191,0.0600008972941176,NA,NA
"75",0.0619,0.0600009282352941,NA,NA
"76",0.061973314,0.0600009591764706,NA,NA
"77",0.0614,0.060000990117647,NA,NA
"78",0.061064868,0.061064868,NA,NA
"79",0.061294477,0.061131389375,NA,NA
"80",0.0614,0.06119791075,NA,NA
"81",0.06281,0.061264432125,NA,NA
"82",0.067,0.0613309535,NA,NA
"83",0.084453108,0.061397474875,NA,NA
"84",0.0938,0.06146399625,NA,NA
"85",0.097146201,0.061530517625,NA,NA
"86",0.095,0.061597039,NA,NA
"87",0.0949,0.061663560375,NA,NA
"88",0.104865589,0.06173008175,NA,NA
"89",0.102,0.061796603125,NA,NA
"90",0.105,0.0618631245,NA,NA
"91",0.101,0.061929645875,NA,NA
"92",0.102,0.06199616725,NA,NA
"93",0.1024,0.062062688625,NA,NA
"94",0.097544892,0.0621292100000001,NA,NA
"95",0.099,0.0621957313750001,NA,NA
"96",0.107,0.0622622527500001,NA,NA
"97",0.1025,0.0623287741250001,NA,NA
"98",0.104556424,0.0623952955000001,NA,NA
"99",0.11501,0.0624618168750001,NA,NA
"100",0.139118553,0.0625283382500001,NA,NA
"101",0.151,0.0625948596250001,NA,NA
"102",0.1877,0.0626613810000001,NA,NA
"103",0.1731,0.0627279023750001,NA,NA
"104",0.19,0.0627944237500001,NA,NA
"105",0.197610544,0.0628609451250001,NA,NA
"106",0.1925,0.0629274665000001,NA,NA
"107",0.194525061,0.0629939878750001,NA,NA
"108",0.1938,0.0630605092500001,NA,NA
"109",0.1931,0.0631270306250001,NA,NA
"110",0.229275161,0.0631935520000001,NA,NA
"111",0.259112414,0.0632600733750001,NA,NA
"112",0.400982303,0.0633265947500001,NA,NA
"113",0.34,0.0633931161250001,NA,NA
"114",0.243184629,0.0634596375000001,NA,NA
"115",0.217272694,0.0635261588750001,NA,NA
"116",0.229549731,0.0635926802500001,NA,NA
"117",0.2231,0.0636592016250001,NA,NA
"118",0.2682,0.0637257230000001,NA,NA
"119",0.276,0.0637922443750001,NA,NA
"120",0.27904,0.0638587657500001,NA,NA
"121",0.268464556,0.0639252871250001,NA,NA
"122",0.225,0.225,NA,NA
"123",0.241939334,0.230018482333333,NA,NA
"124",0.269057791,0.235036964666667,NA,NA
"125",0.27829,0.240055447,NA,NA
"126",0.283015965,0.245073929333333,NA,NA
"127",0.27675,0.250092411666667,NA,NA
"128",0.285,0.255110894,NA,NA
"129",0.28295,0.260129376333333,NA,NA
"130",0.282905736,0.265147858666667,NA,NA
"131",0.28,0.270166341,NA,NA
"132",0.2844,0.275184823333333,NA,NA
"133",0.283,0.280203305666667,NA,NA
"134",0.271358679,0.285221788,NA,NA
"135",0.230559456,0.290240270333333,NA,NA
"136",0.2082,0.295258752666667,NA,NA
"137",0.2275,0.300277235,NA,NA
"138",0.255,0.305295717333333,NA,NA
"139",0.251060084,0.310314199666667,NA,NA
"140",0.205000526,0.315332682,NA,NA
"141",0.202850018,0.320351164333334,NA,NA
"142",0.204,0.325369646666667,NA,NA
"143",0.233420386,0.330388129,NA,NA
"144",0.2388,0.335406611333334,NA,NA
"145",0.199991694,0.199991694,0.199991694,NA
