No,CP,Cycle20,Cycle80,Cycle320
1,0.08584,  ,  ,  
2,0.0808,  ,  ,  
3,0.074735729,  ,  ,  
4,0.079192863,  ,  ,  
5,0.05846976,  ,  ,  
6,0.06059287,  ,  ,  
7,0.05454,  ,  ,  
8,0.050540618,LOW,  ,  
9,0.056,  ,  ,  
10,0.058622016,  ,  ,  
11,0.058911099,  ,  ,  
12,0.0699,  ,  ,  
13,0.064657382,  ,  ,  
14,0.067545799,  ,  ,  
15,0.0611,  ,  ,  
16,0.06,  ,  ,  
17,0.060012151,  ,  ,  
18,0.05701578,  ,  ,  
19,0.061,  ,  ,  
20,0.061671315,  ,  ,  
21,0.059003945,  ,  ,  
22,0.0609,  ,  ,  
23,0.0704,HIGH,  ,  
24,0.069338729,  ,  ,  
25,0.067,  ,  ,  
26,0.07,  ,  ,  
27,0.0645,LOW*,  ,  
28,0.066996434,  ,  ,  
29,0.065117932,  ,  ,  
30,0.0655,  ,  ,  
31,0.07,HIGH*,  ,  
32,0.068,  ,  ,  
33,0.0667,  ,  ,  
34,0.0655,  ,  ,  
35,0.0664,  ,  ,  
36,0.065928989,  ,  ,  
37,0.06491,  ,  ,  
38,0.065,  ,  ,  
39,0.0648,  ,  ,  
40,0.064075114,  ,  ,  
41,0.065,  ,  ,  
42,0.0646,  ,  ,  
43,0.064,  ,  ,  
44,0.06497,  ,  ,  
45,0.06,LOW,LOW,  
46,0.062024828,  ,  ,  
47,0.0634,  ,  ,  
48,0.06085,  ,  ,  
49,0.062178276,  ,  ,  
50,0.06165,  ,  ,  
51,0.0616,  ,  ,  
52,0.061239118,  ,  ,  
53,0.061,  ,  ,  
54,0.061114971,  ,  ,  
55,0.061011524,  ,  ,  
56,0.063620865,HIGH,  ,  
57,0.0615,  ,  ,  
58,0.06218,  ,  ,  
59,0.06199,  ,  ,  
60,0.0604,  ,  ,  
61,0.0619,  ,  ,  
62,0.060000526,LOW,  ,  
63,0.061,  ,  ,  
64,0.0627,HIGH,  ,  
65,0.062101736,  ,  ,  
66,0.06265,  ,  ,  
67,0.06188187,  ,  ,  
68,0.062153513,  ,  ,  
69,0.0622,  ,  ,  
70,0.06202,  ,  ,  
71,0.062,  ,  ,  
72,0.062200442,  ,  ,  
73,0.061903898,  ,  ,  
74,0.06191,  ,  ,  
75,0.0619,  ,  ,  
76,0.061973314,  ,  ,  
77,0.0614,  ,  ,  
78,0.061064868,LOW,  ,  
79,0.061294477,  ,  ,  
80,0.0614,  ,  ,  
81,0.06281,  ,  ,  
82,0.067,  ,  ,  
83,0.084453108,  ,  ,  
84,0.0938,  ,  ,  
85,0.097146201,  ,  ,  
86,0.095,  ,  ,  
87,0.0949,  ,  ,  
88,0.104865589,  ,  ,  
89,0.102,  ,  ,  
90,0.105,  ,  ,  
91,0.101,  ,  ,  
92,0.102,  ,  ,  
93,0.1024,  ,  ,  
94,0.097544892,  ,  ,  
95,0.099,  ,  ,  
96,0.107,  ,  ,  
97,0.1025,  ,  ,  
98,0.104556424,  ,  ,  
99,0.11501,  ,  ,  
100,0.139118553,  ,  ,  
101,0.151,  ,  ,  
102,0.1877,HIGH*,  ,  
103,0.1731,LOW*,  ,  
104,0.19,  ,  ,  
105,0.197610544,  ,  ,  
106,0.1925,  ,  ,  
107,0.194525061,  ,  ,  
108,0.1938,  ,  ,  
109,0.1931,  ,  ,  
110,0.229275161,  ,  ,  
111,0.259112414,  ,  ,  
112,0.400982303,HIGH,HIGH,  
113,0.34,  ,  ,  
114,0.243184629,  ,  ,  
115,0.217272694,LOW,  ,  
116,0.229549731,  ,  ,  
117,0.2231,  ,  ,  
118,0.2682,  ,  ,  
119,0.276,  ,  ,  
120,0.27904,  ,  ,  
121,0.268464556,  ,  ,  
122,0.225,  ,  ,  
123,0.241939334,  ,  ,  
124,0.269057791,  ,  ,  
125,0.27829,  ,  ,  
126,0.283015965,  ,  ,  
127,0.27675,  ,  ,  
128,0.285,HIGH,  ,  
129,0.28295,  ,  ,  
130,0.282905736,  ,  ,  
131,0.28,  ,  ,  
132,0.2844,  ,  ,  
133,0.283,  ,  ,  
134,0.271358679,  ,  ,  
135,0.230559456,  ,  ,  
136,0.2082,  ,  ,  
137,0.2275,  ,  ,  
138,0.255,  ,  ,  
139,0.251060084,  ,  ,  
140,0.205000526,  ,  ,  
141,0.202850018,  ,  ,  
142,0.204,  ,  ,  
143,0.233420386,  ,  ,  
144,0.2388,  ,  ,  
145,0.199991694,LOW,LOW,  
146,0.204,  ,  ,  
147,0.228,  ,  ,  
148,0.219853612,  ,  ,  
149,0.227605237,  ,  ,  
150,0.24669,  ,  ,  
151,0.24,  ,  ,  
152,0.24996,  ,  ,  
153,0.242655815,  ,  ,  
154,0.241,  ,  ,  
155,0.2401,  ,  ,  
156,0.267,HIGH*,  ,  
157,0.241436002,LOW*,  ,  
158,0.25,  ,  ,  
159,0.249970128,  ,  ,  
160,0.248,  ,  ,  
161,0.2499,  ,  ,  
162,0.264962127,  ,  ,  
163,0.264785389,  ,  ,  
164,0.281,  ,  ,  
165,0.3,  ,  ,  
166,0.3,  ,  ,  
167,0.3,  ,  ,  
168,0.3,  ,  ,  
169,0.29997,  ,  ,  
170,0.295,  ,  ,  
171,0.29895,  ,  ,  
172,0.298916302,  ,  ,  
173,0.298,  ,  ,  
174,0.32,  ,  ,  
175,0.3229,  ,  ,  
176,0.323,  ,  ,  
177,0.32659,  ,  ,  
178,0.32659,  ,  ,  
179,0.318799621,  ,  ,  
180,0.3176,  ,  ,  
181,0.399990006,HIGH*,  ,  
182,0.386,  ,  ,  
183,0.38679,  ,  ,  
184,0.3495,  ,  ,  
185,0.31299,LOW*,  ,  
186,0.31299,  ,  ,  
187,0.39,  ,  ,  
188,0.41991,  ,  ,  
189,0.440035529,  ,  ,  
190,0.4424,  ,  ,  
191,0.4199,  ,  ,  
192,0.41,  ,  ,  
193,0.41508513,  ,  ,  
194,0.4212,  ,  ,  
195,0.444484044,  ,  ,  
196,0.439,  ,  ,  
197,0.477142034,  ,  ,  
198,0.52513687,  ,  ,  
199,0.707510117,  ,  ,  
200,0.725434822,HIGH*,  ,  
201,0.693898368,LOW*,  ,  
202,0.810958971,  ,  ,  
203,0.911671477,  ,  ,  
204,0.898,  ,  ,  
205,0.88942137,  ,  ,  
206,0.918,  ,  ,  
207,1.016050245,  ,  ,  
208,0.979652963,  ,  ,  
209,1.054069454,  ,  ,  
210,1.078703284,HIGH,HIGH,  
211,1.05,  ,  ,  
212,1.070012624,  ,  ,  
213,1.05,  ,  ,  
214,1.031687629,  ,  ,  
215,1.039923198,  ,  ,  
216,0.898955915,  ,  ,  
217,0.944028117,  ,  ,  
218,0.865,  ,  ,  
219,0.835747428,LOW,  ,  
220,0.87704178,  ,  ,  
221,0.9,  ,  ,  
222,0.989095266,HIGH,  ,  
223,0.914652002,  ,  ,  
224,0.958,  ,  ,  
225,0.895033115,  ,  ,  
226,0.860220923,  ,  ,  
227,0.921096892,  ,  ,  
228,0.9399,  ,  ,  
229,0.939073383,  ,  ,  
230,0.9011,  ,  ,  
231,0.907840607,  ,  ,  
232,0.884770973,  ,  ,  
233,0.877583864,  ,  ,  
234,0.866071591,  ,  ,  
235,0.86,  ,  ,  
236,0.92067031,  ,  ,  
237,0.88,  ,  ,  
238,0.917815513,  ,  ,  
239,0.89249,  ,  ,  
240,0.893924923,  ,  ,  
241,0.87224,  ,  ,  
242,0.851211666,  ,  ,  
243,0.82542,  ,  ,  
244,0.801959208,  ,  ,  
245,0.765,  ,  ,  
246,0.7415,LOW,  ,  
247,0.75897,  ,  ,  
248,0.809130293,  ,  ,  
249,0.84971,  ,  ,  
250,0.872374366,  ,  ,  
251,0.88377,HIGH,  ,  
252,0.8552,  ,  ,  
253,0.822,  ,  ,  
254,0.7947405,  ,  ,  
255,0.792509942,  ,  ,  
256,0.789706312,  ,  ,  
257,0.78461,  ,  ,  
258,0.77411,  ,  ,  
259,0.78199,  ,  ,  
260,0.779,  ,  ,  
261,0.68,LOW,LOW,  
262,0.715691835,  ,  ,  
