No,CP,HighVTL20days,Cycle20,LowVTL20days,HighVTL80days,Cycle80,LowVTL80days,HighVTL360days,Cycle320,LowVTL360days,20 Day FLD
1,0.08584,NA,  ,NA,NA,  ,NA,NA,  ,NA,NA
2,0.0808,NA,  ,NA,NA,  ,NA,NA,  ,NA,NA
3,0.074735729,NA,  ,NA,NA,  ,NA,NA,  ,NA,NA
4,0.079192863,NA,  ,NA,NA,  ,NA,NA,  ,NA,NA
5,0.05846976,NA,  ,NA,NA,  ,NA,NA,  ,NA,NA
6,0.06059287,NA,  ,NA,NA,  ,NA,NA,  ,NA,NA
7,0.05454,NA,  ,NA,NA,  ,NA,NA,  ,NA,NA
8,0.050540618,NA,LOW,NA,NA,  ,NA,NA,  ,NA,NA
9,0.056,NA,  ,NA,NA,  ,NA,NA,  ,NA,NA
10,0.058622016,NA,  ,NA,NA,  ,NA,NA,  ,NA,NA
11,0.058911099,NA,  ,NA,NA,  ,NA,NA,  ,NA,NA
12,0.0699,NA,  ,NA,NA,  ,NA,NA,  ,NA,NA
13,0.064657382,NA,  ,NA,NA,  ,NA,NA,  ,NA,NA
14,0.067545799,NA,  ,NA,NA,  ,NA,NA,  ,NA,NA
15,0.0611,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.065933386
16,0.06,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.063240496
17,0.060012151,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.062150496
18,0.05701578,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.061142661
19,0.061,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.059977954
20,0.061671315,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.060240978
21,0.059003945,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.060181691
22,0.0609,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.060728907
23,0.0704,NA,HIGH,NA,NA,  ,NA,NA,  ,NA,0.061376423
24,0.069338729,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.061876423
25,0.067,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.062181353
26,0.07,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.062190637
27,0.0645,NA,LOW*,NA,NA,  ,NA,NA,  ,NA,0.061290637
28,0.066996434,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.061864899
29,0.065117932,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.062044192
30,0.0655,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.062634192
31,0.07,NA,HIGH*,NA,NA,  ,NA,NA,  ,NA,0.063634192
32,0.068,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.064082977
33,0.0667,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.065081042
34,0.0655,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.065492836
35,0.0664,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.065875704
36,0.065928989,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.06697531
37,0.06491,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.06768531
38,0.065,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.06731531
39,0.0648,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.066931437
40,0.064075114,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.066871437
41,0.065,NA,  ,NA,NA,  ,NA,NA,  ,NA,0.066464336
