No,date,CP,Cycle20,Cycle80,Cycle320
1,7/18/2010,0.08584,  ,  ,  
2,7/19/2010,0.0808,  ,  ,  
3,7/20/2010,0.074735729,  ,  ,  
4,7/21/2010,0.079192863,  ,  ,  
5,7/22/2010,0.05846976,  ,  ,  
6,7/23/2010,0.06059287,  ,  ,  
7,7/24/2010,0.05454,  ,  ,  
8,7/25/2010,0.050540618,LOW,  ,  
9,7/26/2010,0.056,  ,  ,  
10,7/27/2010,0.058622016,  ,  ,  
11,7/28/2010,0.058911099,  ,  ,  
12,7/29/2010,0.0699,  ,  ,  
13,7/30/2010,0.064657382,  ,  ,  
14,7/31/2010,0.067545799,  ,  ,  
15,08-01-2010,0.0611,  ,  ,  
16,08-02-2010,0.06,  ,  ,  
17,08-03-2010,0.060012151,  ,  ,  
18,08-04-2010,0.05701578,  ,  ,  
19,08-05-2010,0.061,  ,  ,  
20,08-06-2010,0.061671315,  ,  ,  
21,08-07-2010,0.059003945,  ,  ,  
22,08-08-2010,0.0609,  ,  ,  
23,08-09-2010,0.0704,HIGH,  ,  
24,08-10-2010,0.069338729,  ,  ,  
25,08-11-2010,0.067,  ,  ,  
26,08-12-2010,0.07,  ,  ,  
27,8/13/2010,0.0645,LOW*,  ,  
28,8/14/2010,0.066996434,  ,  ,  
29,8/15/2010,0.065117932,  ,  ,  
30,8/16/2010,0.0655,  ,  ,  
31,8/17/2010,0.07,HIGH*,  ,  
32,8/18/2010,0.068,  ,  ,  
33,8/19/2010,0.0667,  ,  ,  
34,8/20/2010,0.0655,  ,  ,  
35,8/21/2010,0.0664,  ,  ,  
36,8/22/2010,0.065928989,  ,  ,  
37,8/23/2010,0.06491,  ,  ,  
38,8/24/2010,0.065,  ,  ,  
39,8/25/2010,0.0648,  ,  ,  
40,8/26/2010,0.064075114,  ,  ,  
41,8/27/2010,0.065,  ,  ,  
42,8/28/2010,0.0646,  ,  ,  
43,8/29/2010,0.064,  ,  ,  
44,8/30/2010,0.06497,  ,  ,  
45,8/31/2010,0.06,LOW,LOW,  
46,09-01-2010,0.062024828,  ,  ,  
47,09-02-2010,0.0634,  ,  ,  
48,09-03-2010,0.06085,  ,  ,  
49,09-04-2010,0.062178276,  ,  ,  
50,09-05-2010,0.06165,  ,  ,  
